GEOID,pct_white,pct_black,pct_not_white,majority_not_white,median_ageE,median_incomeE,maj_anc_type,maj_anc_group
36047029500,0.1797937177684013,0.6847163619315518,0.8202062822315986,TRUE,33.3,36684,WestIndianexceptHispanicgroups,West Indies
36047030700,0.07377344877344877,0.7968975468975469,0.9262265512265512,TRUE,29.1,21039,WestIndianexceptHispanicgroups,West Indies
36047030900,0.04985888993414864,0.8095014111006585,0.9501411100658513,TRUE,33.5,31149,WestIndianexceptHispanicgroups,West Indies
36047031702,0.3282251323488437,0.5090554471997771,0.6717748676511563,TRUE,30.6,43216,WestIndianexceptHispanicgroups,West Indies
36047032700,0.25517241379310346,0.6563894523326572,0.7448275862068966,TRUE,43.4,35558,WestIndianexceptHispanicgroups,West Indies
36047033600,0.8606831882116543,0.035275731189997765,0.13931681178834562,FALSE,42.6,35665,Russian,Europe
36047034000,0.4606334841628959,0.3891402714932127,0.539366515837104,TRUE,61.3,12266,Russian,Europe
36047034300,0.09455587392550144,0.738872970391595,0.9054441260744985,TRUE,34.8,16366,WestIndianexceptHispanicgroups,West Indies
36047038800,0.7383663366336634,0.08267326732673268,0.26163366336633664,FALSE,32.1,35181,Russian,Europe
36047039500,0.34249263984298334,0.3348871442590775,0.6575073601570167,TRUE,31.1,26561,American,United States
36047039900,0.2218733647305076,0.4662480376766091,0.7781266352694924,TRUE,30.7,25716,American,United States
36047040200,0.4165208260413021,0.006650332516625832,0.583479173958698,TRUE,38.9,21203,Italian,Europe
36047040900,0.34210526315789475,0.2546689303904924,0.6578947368421053,TRUE,29.8,24059,American,United States
36047041600,0.85546875,0.01953125,0.14453125,FALSE,32.5,22500,Arab,Middle East
36047040000,0.43278195488721805,0.009924812030075189,0.567218045112782,TRUE,40.3,23558,Italian,Europe
36047042300,0.5135007105637138,0.08005684509711038,0.4864992894362861,FALSE,28.2,26966,Italian,Europe
36047042400,0.5553419390277397,0,0.44465806097226035,FALSE,39.2,22973,Italian,Europe
36047044200,0.8861016949152543,0,0.11389830508474576,FALSE,31.3,39167,American,United States
36047045200,0.9556057185854026,0.008276899924755455,0.04439428141459744,FALSE,28.9,37906,American,United States
36047046202,0.9049485546300833,0,0.0950514453699167,FALSE,26.5,23816,American,United States
36047047800,0.7783164389598942,0,0.22168356104010578,FALSE,25.5,20187,Polish,Europe
36047048000,0.6283801184651043,0.03219160442956477,0.3716198815348957,FALSE,28.7,17341,American,United States
36047048100,0.7599478147423353,0.0547945205479452,0.2400521852576647,FALSE,32.5,42008,Italian,Europe
36047050600,0.2687068813019636,0.42278436228551214,0.7312931186980365,TRUE,33.2,28811,WestIndianexceptHispanicgroups,West Indies
36047051700,0.7928034796362199,0.024120205614867538,0.20719652036378014,FALSE,32.8,80208,German,Europe
