"","intersection","AMPeak.x","MiddayPeak.x","EveningPeak.x","AMPeak.y","MiddayPeak.y","EveningPeak.y","AMPeak_total","MiddayPeak_total","EveningPeak_total","Peak_total","car_peak_total","heavy_peak_total","AMPeak","MiddayPeak","EveningPeak","bike_peak_total","Study.Period","Archive.Date","Associated.Streets","Collection.Date","Data.Type","Neighborhood.Code","Original.File.Name","Site.Location","Street.Name","Study.Type","Lat","Long","description"
"1","175",1066,1077,1317,109,90,62,1182,1173,1386,3721,3460,261,7,6,7,20,"12 HOURS","3/2/2020 15:32","DORCHESTER ST, EAST BROADWAY, WEST BROADWAY","11/21/2019","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0175_DORCHESTER ST, EAST BROADWAY, WEST BROADWAY_SB_12HR_TMC_11212019.XLSX",NA,"","TURNING MOVEMENT COUNT",42.335477,-71.045651,"Intersection: Dorchester St, East Broadway, West Broadway <br> Peak Cars: 3460 <br> Peak Heavy Vehicles: 261 <br> Peak Bicycles: 20"
"3","271",1778,1339,1809,108,108,91,1919,1468,1947,5233,4926,307,33,21,47,101,"11 HOURS","10/14/2019 20:00","B ST, DORCHESTER ST, OLD COLONY AVE","9/26/2019","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0271_B ST, DORCHESTER ST, OLD COLONY AVE_SB_11HR_TMC_09262019.XLSX",NA,"","TURNING MOVEMENT COUNT",42.338199,-71.056991,"Intersection: B St, Dorchester St, Old Colony Ave <br> Peak Cars: 4926 <br> Peak Heavy Vehicles: 307 <br> Peak Bicycles: 101"
"7","304",1311,1130,1299,93,54,46,1413,1188,1351,3933,3740,193,9,4,6,19,"12 HOURS","3/2/2020 15:32","EAST BROADWAY, L ST","11/21/2019","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0304_EAST BROADWAY, L ST_SB_12HR_TMC_11212019.PDF",NA,"","TURNING MOVEMENT COUNT",42.335641,-71.035439,"Intersection: East Broadway, L St <br> Peak Cars: 3740 <br> Peak Heavy Vehicles: 193 <br> Peak Bicycles: 19"
"9","309",2121,1277,1984,180,110,113,2360,1407,2149,5785,5382,403,59,20,52,131,"12 HOURS","3/2/2020 15:32","DORCHESTER AVE, WEST FOURTH ST","11/21/2019","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0309_DORCHESTER AVE, WEST FOURTH ST_SB_12HR_TMC_11212019.PDF",NA,"","TURNING MOVEMENT COUNT",42.341541,-71.057045,"Intersection: Dorchester Ave, West Fourth St <br> Peak Cars: 5382 <br> Peak Heavy Vehicles: 403 <br> Peak Bicycles: 131"
"11","373",1061,998,1164,94,69,55,1195,1081,1261,3441,3223,218,40,14,42,96,"12 HOURS","3/2/2020 15:32","D ST, WEST BROADWAY","11/21/2019","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0373_D ST, WEST BROADWAY_SB_12HR_TMC_11212019.XLSX",NA,"","TURNING MOVEMENT COUNT",42.33881,-71.050845,"Intersection: D St, West Broadway <br> Peak Cars: 3223 <br> Peak Heavy Vehicles: 218 <br> Peak Bicycles: 96"
"13","417",914,675,1090,84,64,65,1054,752,1208,2892,2679,213,56,13,53,122,"12 HOURS","3/2/2020 15:32","A ST, WEST FOURTH ST","11/21/2019","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0417_A ST, WEST FOURTH ST_SB_12HR_TMC_11212019.XLSX",NA,"","TURNING MOVEMENT COUNT",42.341115,-71.056351,"Intersection: A St, West Fourth St <br> Peak Cars: 2679 <br> Peak Heavy Vehicles: 213 <br> Peak Bicycles: 122"
"15","455",664,689,761,34,25,20,701,717,784,2193,2114,79,3,3,3,9,"12 HOURS","3/2/2020 15:32","EAST EIGHTH ST, L ST","11/21/2019","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0455_EAST EIGHTH ST, L ST_SB_12HR_TMC_11212019.PDF",NA,"","TURNING MOVEMENT COUNT",42.331476,-71.035266,"Intersection: East Eighth St, L St <br> Peak Cars: 2114 <br> Peak Heavy Vehicles: 79 <br> Peak Bicycles: 9"
"17","752",1194,1015,1256,80,90,89,1282,1113,1360,3724,3465,259,8,8,15,31,"12 HOURS","3/2/2020 15:32","DORCHESTER ST, EAST EIGHTH ST, WEST EIGHTH ST","11/21/2019","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0752_DORCHESTER ST, EAST EIGHTH ST, WEST EIGHTH ST_SB_12HR_TMC_11212019.PDF",NA,"","TURNING MOVEMENT COUNT",42.332824,-71.051096,"Intersection: Dorchester St, East Eighth St, West Eighth St <br> Peak Cars: 3465 <br> Peak Heavy Vehicles: 259 <br> Peak Bicycles: 31"
"19","933",1908,1335,1835,151,113,119,2097,1462,1992,5461,5078,383,38,14,38,90,"12 HOURS","3/2/2020 15:32","A ST,DORCHESTER AVE, WEST FIFTH ST","11/21/2019","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0933_A ST,DORCHESTER AVE, WEST FIFTH ST_SB_12HR_TMC_11212019.PDF",NA,"","TURNING MOVEMENT COUNT",42.340552,-71.056998,"Intersection: A St,Dorchester Ave, West Fifth St <br> Peak Cars: 5078 <br> Peak Heavy Vehicles: 383 <br> Peak Bicycles: 90"
"21","991",1756,1428,1713,116,48,38,1885,1491,1771,5099,4897,202,13,15,20,48,"12 HOURS","3/2/2020 15:32","EAST FIRST ST, L ST, SUMMER ST","11/21/2019","","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_0991_EAST FIRST ST, L ST, SUMMER ST_SB_12HR_TMC_11212019.PDF",NA,"","TURNING MOVEMENT COUNT",42.338153,-71.035496,"Intersection: East First St, L St, Summer St <br> Peak Cars: 4897 <br> Peak Heavy Vehicles: 202 <br> Peak Bicycles: 48"
